ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
HOTEL WEST ONE,1,03-5356-7110,"2,000","2,200","3,500","3,500","3,500",-,-,東京都豊島区西池袋1-33-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7532177070884!2d139.70807331437484!3d35.73228733477926!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ddfcdfed7%3A0x29a9c578ead4b8ec!2z44Ob44OG44OrIOOCpuOCp-OCueODiOODr-ODsw!5e0!3m2!1sja!2sjp!4v1502543918391"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
キャッスル,2,03-3988-6711,"2,000","2,000","4,000","5,000","5,000",-,-,東京都豊島区池袋2-54-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6872341643184!2d139.70606671437486!3d35.73390983469032!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5f1d631f35%3A0x5bf40f7985850205!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yV77yU4oiS77yU!5e0!3m2!1sja!2sjp!4v1502544413443"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ショコラ,3,03-3971-4567,"2,000","2,500","4,000","6,000","4,000","3,000",-,東京都豊島区東池袋1-37-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4580.289180527362!2d139.71091106215752!3d35.73227942568788!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7d9065999954ec3c!2zSG90ZWwg44K344On44Kz44Op!5e0!3m2!1sja!2sjp!4v1502542890251"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
スターダスト,4,03-5928-5996,"2,000","2,000","5,800","6,800","5,800",-,-,東京都豊島区池袋2-46-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d556.2288025615335!2d139.71024739554764!3d35.73347581519542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e15fb6be1%3A0xcf6487b3cc04385c!2z44K544K_44O844OA44K544OI!5e0!3m2!1sja!2sjp!4v1502543558432"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル スマイル,5,03-3985-7717,"2,000","2,500","5,000","7,000","5,000",-,-,東京都豊島区池袋2-51-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.689317316877!2d139.7094528500908!3d35.733858612062946!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe3d17a1647095e48!2z44Ob44OG44Or44K544Oe44Kk44Or!5e0!3m2!1sja!2sjp!4v1502542970663"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
アゼリア,6,03-5950-8585,"2,200","2,200","4,590","5,590","5,590",-,-,東京都豊島区池袋2-12-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7493624689105!2d139.70472521437483!3d35.73238213477409!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec90387dd%3A0xb37e9bd0360c0f05!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yS4oiS77yU!5e0!3m2!1sja!2sjp!4v1502544141406"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
フロリダ,7,03-3987-8645,"2,200","2,200","5,000","6,000","6,000","4,200",-,東京都豊島区池袋2-36-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7155880887244!2d139.70520291437484!3d35.73321263472846!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5edbf15bbd%3A0x9eb11f21aa186169!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yT77yW4oiS77yU!5e0!3m2!1sja!2sjp!4v1502545317957"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ルージュ,8,03-6907-4771,"2,200","2,200","5,000","6,000","6,000","4,200",-,東京都豊島区池袋2-16-17,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d809.6840623194596!2d139.70633003882244!3d35.73270458544943!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ed1998919%3A0xa572ad3aa8417933!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yW4oiS77yR77yYIOODm-ODhuODq-ODq-ODvOOCuOODpQ!5e0!3m2!1sja!2sjp!4v1502545758024"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL Amethyst,9,03-5396-7575,"2,500","2,500","4,500","4,500","4,500","5,000",-,東京都豊島区池袋2-60-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6602381148055!2d139.7069833143749!3d35.73457363465387!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5fa978b5cb%3A0x5e1c0d0b732b4f4f!2z44Ob44OG44Or44Ki44Oh44K444K544OI!5e0!3m2!1sja!2sjp!4v1502543650029"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
アイドリーム,10,03-3988-8444,"2,500","3,000",-,-,-,-,-,東京都豊島区池袋2-51-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.677404529249!2d139.707966514375!3d35.73415153467696!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e48665605%3A0x6be9ad6516af2dd5!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yV77yR4oiS77yX!5e0!3m2!1sja!2sjp!4v1502544073276"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
キャッツ,11,03-3982-8791,"2,500","2,500","5,800","7,500",-,-,-,東京都豊島区池袋1-3-18,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2723.3994831827868!2d139.71096174564522!3d35.733939139053945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b91b81c9%3A0x4f78766da7d0617a!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yT4oiS77yR77yYIOODm-ODhuODq-OCreODo-ODg-ODhA!5e0!3m2!1sja!2sjp!4v1502546029304"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ティファニー,12,03-3984-8431,"2,500","2,980","5,000","6,500",-,-,-,東京都豊島区南池袋2-26-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.9426014653454!2d139.7111220143746!3d35.72763013503504!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d68438587bd%3A0xf69bda6c5af84a1!2z44CSMTcxLTAwMjIg5p2x5Lqs6YO96LGK5bO25Yy65Y2X5rGg6KKL77yS5LiB55uu77yS77yW4oiS77yR!5e0!3m2!1sja!2sjp!4v1502545107472"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
トトロ,13,03-5950-2981,"2,500","2,500","5,000","5,000","5,000",-,-,東京都豊島区池袋2-64-15,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.647240163114!2d139.70913031437496!3d35.7348932346362!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e2beb91ad%3A0xa78e9037e48aab77!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yW77yU4oiS77yR77yV!5e0!3m2!1sja!2sjp!4v1502545198441"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
池袋 PARKSIDE HOTEL,14,03-3987-7115,"2,500","2,700","4,500","5,000","4,500","4,500",-,東京都豊島区東池袋1-15-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7957548730155!2d139.71284531437476!3d35.731241334836746!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d664412901b%3A0x6eeefe91b54aef57!2z44Ob44OG44OrIOODkeODvOOCr-OCteOCpOODiQ!5e0!3m2!1sja!2sjp!4v1502543632855"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
