ホテル名,,電話番号,休憩,,宿泊,,,サービスタイム,ショートタイム,予約,住所
,,,平日,休日,平日,金・祝前日,休日,,,,
,,,料金,料金,料金,料金,料金,時間,時間,,
ホテル名,振り番号,電話,平日,休日,平日,金・祝,旧日,サービス,ショート,,住所
渋谷グランドホテル,1,03-5784-3355,"1,700","2,000","5,200","7,400","7,400",-,-,,東京都渋谷区道玄坂1-11-2
HOTEL HERME,2,03-5784-3122,"2,000","2,200","5,000","5,000","6,900",-,-,不可,東京都渋谷区道玄坂2-28-10
HOTEL Moti,3,03-6415-3121,"2,000","2,200","5,000","13,000","13,000",-,-,,東京都渋谷区道玄坂2-20-8
モティ,4,03-3463-9303,"2,000","2,000","5,000","5,000","5,000",-,-,,東京都渋谷区道玄坂2-20-8
プチホワイトボックス,5,03-3477-2661,"2,500","2,500","6,500","6,500","6,500","2,800",-,,東京都渋谷区道玄坂2-14-4
HOTEL ONYX,6,03-5428-4422,"2,900","3,000","7,800","11,000","11,000",-,-,不可,東京都渋谷区道玄坂2-14-19
ホテル ル・ペイ・ブラン,7,03-3770-3021,"3,000","3,500","6,500","8,000","9,500","4,000",-,可（電話）,東京都渋谷区円山町2-8
HOTEL ASIA,8,03-5728-7059,"3,100","3,000","8,000","11,000","11,000","5,000",-,不可,東京都渋谷区道玄坂2-20-13
ホテル エイジア,9,03-5728-7059,"3,100","3,100","8,900","11,000","8,900","5,000",-,不可,東京都渋谷区道玄坂2-20-13
渋谷 カサディドゥエ,10,03-3461-2831,"3,140","4,220","7,550","10,790","14,030","4,310",-,,東京都渋谷区道玄坂2-14-7
道玄坂 ホテル カサディドゥエ,11,03-3461-2831,"3,140","4,220","7,550","10,790","14,030","4,310",-,可（電話、Web）,東京都渋谷区道玄坂2-14-7
シェヌー,12,03-3461-6996,"3,300","4,000","5,500","8,500","9,500","3,800",-,,東京都渋谷区円山町4-10
イースタン,13,03-3464-0816,"3,400","4,300","7,200","11,400","11,400","3,400","3,900",不可,東京都渋谷区道玄坂2-21-4
