ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
Bless,4,03-5291-6262,"2,500","2,500","6,600","9,600","6,600","4,500","2,500",東京都新宿区歌舞伎町2-2-12
フランセパリス,15,03-3209-7791 ,"2,500","2,500","5,500","8,500","5,500","2,500",-,東京都新宿区歌舞伎町2-6-8
ホテル i（アイ）,79,03-3202-0332,"2,500","2,500","5,000","8,000","5,000",-,-,東京都新宿区歌舞伎町1-13-4
ブレス,93,03-5291-6262,"2,500","2,500","6,600","9,600","6,600","4,500",-,東京都新宿区歌舞伎町2-2-12
ホテル リオ,78,03-3200-5602,"3,300","3,800","6,900","7,900","6,900","4,800",-,東京都新宿区大久保1-17-1
ホテル モナコ,102,03-3232-8018,"3,300","3,600","5,500","6,500","5,500",-,-,東京都新宿区百人町1-4-25
Eight,5,03-3208-8008,"3,500","5,300","7,400","13,500","12,500","4,750","3,900",東京都新宿区歌舞伎町2-2-8
K,26,03-3209-5911,"3,500",-,"5,800",-,-,-,-,東京都新宿区歌舞伎町2-35-13
ドルフィン,97,03-3200-5321,"3,500","3,500","6,000","6,000","6,000","3,700",-,東京都新宿区百人町1-4-11
ヴィップイン,101,03-3367-6767 ,"3,500","3,500","6,000","6,000","6,000","3,500",-,東京都新宿区百人町1-9-18
サンマリン,96,03-3371-3378 ,"3,560","3,560","7,400","7,400","7,400","4,100",-,東京都新宿区百人町2-17-3
ホテル ヤングイン,95,03-3366-2401,"3,660","3,660","6,770","7,850","6,770","3,360",-,東京都新宿区西新宿7-10-3
ホテル Liberty,66,03-3200-1148,"3,800","4,900","7,200","9,900","7,200","4,900","2,800",東京都新宿区歌舞伎町2-6-8
フォーラム,72,03-5287-6233,"3,800","4,800","6,000","7,000","6,000","5,800",-,東京都新宿区百人町1-3-8
HOTEL ATLAS,18,03-3209-5567,"3,900","6,600","7,800","12,900","7,800","3,900","4,990",東京都新宿区歌舞伎町2-12-9
HOTEL ATLAS,60,03-3209-5567,"3,900","6,600","7,800","12,900","7,800","3,900","4,490",東京都新宿区歌舞伎町2-12-9
新宿アーバンホテル,7,03-3209-1231,"4,000","4,000","7,000","7,000","7,000",-,-,東京都新宿区歌舞伎町2−8−12
HOTEL N.U.T.S,98,03-5379-1041 ,"4,000","5,800","8,800","9,500","8,800","4,900",-,東京都新宿区新宿1-16-5
エクセレント,57,03-3200-6501,"4,100","4,100","6,500","6,500","6,500","4,100","3,900",東京都新宿区歌舞伎町2-7-10
ホテル 8,58,03-3208-8008,"4,210","9,070","9,070","11,800","9,070","4,750",-,東京都新宿区歌舞伎町2-2-8
ホテル ヴィラホワイト,70,03-3209-4510,"4,400","4,400","5,500","6,900","5,500","4,400",-,東京都新宿区百人町1-2-6
G7,3,03-3232-0007,"4,500","5,200","6,900",-,"9,800",-,-,東京都新宿区歌舞伎町2-5-5
La Festae,30,03-3200-1022,"4,500","4,500","8,000","10,000","8,000","4,500","3,500",東京都新宿区歌舞伎町2-28-11
ALPHA,35,03-3200-4136,"4,500","4,500","8,500","8,500","8,500","4,800",-,東京都新宿区歌舞伎町2-33-10
遊楽膳,67,03-3209-2414,"4,500","4,500","7,500","11,500","7,500","3,500","3,500",東京都新宿区歌舞伎町2-6-14
フェスタ,87,03-3200-1022 ,"4,500","4,500","8,000","10,000","8,000","4,500","3,500",東京都新宿区歌舞伎町2-28-11
Style-A,34,03-3209-3980,"4,630","5,000","8,340","9,000","9,000","5,000",-,東京都新宿区歌舞伎町2-30-5
HOTEL PAL新宿店,71,03-3200-4844,"4,680","5,180","9,500","12,500","9,500","3,990",-,東京都新宿区歌舞伎町2-30-3
AVYSS,8,03-3200-6321 ,"4,800","4,800","8,700","11,100","8,700","4,800",-,東京都新宿区歌舞伎町2-8-2
W-BAGUS,24,03-3202-2525,"4,800","6,000","8,800","12,800","12,800","4,800","3,900",東京都新宿区歌舞伎町2-13-1
LEONI,38,03-3208-5556,"4,800","4,800","7,800","9,800","12,180","4,800","3,040",東京都新宿区歌舞伎町2-31-6
ホテル プティバリ　東新宿店（バリアングループ）,41,0120-691-581,"4,800",-,"9,800","12,800","12,800","9,800",-,東京都新宿区歌舞伎町2-5-1
HOTEL W-BAGUS,52,03-3202-2525,"4,800","4,800","8,800","11,800","8,800","4,800","3,900",東京都新宿区歌舞伎町2-13-1
HOTEL SERIO,59,03-5285-3460,"4,800","4,800","8,300","8,300","8,300","4,800",-,東京都新宿区歌舞伎町2-15-13
アビス,69,03-3200-6321,"4,800","5,500","8,700","11,100","8,700","4,800",-,東京都新宿区歌舞伎町2-8-2
ホテル α,85,03-3200-4136 ,"4,800","4,800","8,500","9,860","8,500","4,800",-,東京都新宿区歌舞伎町2-33-10
レオーニ,90,03-3208-5556 ,"4,800","4,800","7,800","9,800","7,800","4,800","3,040",東京都新宿区歌舞伎町2-31-6
W aramis,10,03-5291-1955 ,"4,900","6,300","9,900","11,900","9,900","4,900","3,900",東京都新宿区歌舞伎町2-7-4
WAKO,29,03-3200-2111,"4,900","3,900","8,500","8,900","8,500","3,900",-,東京都新宿区歌舞伎町2-35-9
HOTEL W-ARAMIS,53,03-5291-1955,"4,900","6,300","9,900","11,900","9,900","4,900","3,900",東京都新宿区歌舞伎町2-7-4
HOTEL MALTA,89,03-3200-8181,"4,900","5,400","8,800","11,500","8,800","4,900","3,600",東京都新宿区歌舞伎町2-32-2
HOTEL WAKO,100,03-3200-2111,"4,900","3,900","8,500","8,900","8,500","3,900",-,東京都新宿区歌舞伎町2-35-9
XO歌舞伎町,75,03-5155-7357,"4,980","4,980","9,980","11,960","9,980","4,980","3,460",東京都新宿区歌舞伎町2-35-12
PASEO,1, 03-3205-0234 ,"5,000","5,000","8,000","10,000","8,000","5,000","3,500",東京都新宿区歌舞伎町2-5-8
ALAND,28,03-3232-6121,"5,000","5,000","8,000","9,980","8,000","5,000",-,東京都新宿区歌舞伎町2-28-8
SUN,68,03-3204-6006,"5,000","7,350","7,350","8,730","7,350","5,000",-,東京都新宿区歌舞伎町2-33-7
HOTEL Style-A,77,03-3209-3980,"5,000","5,000","9,000","12,000","9,000","5,000",-,東京都新宿区歌舞伎町2-30-5
ホテル パセオ,86,03-3205-0234,"5,000","5,000","8,000","10,000","8,000","5,000",-,東京都新宿区歌舞伎町2-5-8
アランド新宿,88,03-3232-6121 ,"5,000","5,000","8,000","9,980","8,000","5,000",-,東京都新宿区歌舞伎町2-28-8
