ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
ホテル アクア横浜,1,045-290-9197,"2,160","4,298","6,458","8,618","9,698","4,298",-,神奈川県横浜市西区北幸2-3-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.3119796505744!2d139.62712071436513!3d35.44707005038752!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8aa8aee0c7%3A0x5f822abdf5dc96d9!2z44CSMjMxLTAwNjUg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy65a6u5bed55S677yS5LiB55uu77yS77yT4oiS77yS!5e0!3m2!1sja!2sjp!4v1502104553114"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
エックスイン,2,045-252-0623,"2,290","2,390",-,-,-,"2,890","1,990",神奈川県横浜市中区伊勢佐木町6-140-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d683.3313089642045!2d139.6293063452985!3d35.442666250332415!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x35b2844a38d56e31!2z44Ob44OG44Or44K544K_44O844Ky44Kk44OI!5e0!3m2!1sja!2sjp!4v1502104593793"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル I/S,3,045-641-1377,"2,800","3,800","4,800","9,800","4,800","2,800",-,神奈川県横浜市中区松影町1-2-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.4367124789665!2d139.64039531436504!3d35.44398135055606!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cfad7ec0c5b%3A0x79d3cd1a4145e6f1!2z44Ob44OG44Or44OU44Ki44K344OG44Kj!5e0!3m2!1sja!2sjp!4v1502104608357"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
Petit HOTEL LUNA,4,045-633-3223,"3,300","3,800","7,500","9,500","9,500","4,500",-,神奈川県横浜市中区寿町1-3-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5991534659775!2d139.6302857143649!3d35.4399585507753!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cf27dd0ace9%3A0xc0b072588e71ef79!2z44Ob44OG44OrIOOCouODreODnuODkOODr-ODquODvCBIT1RFTCBBUk9NQSBCT1dFUlk!5e0!3m2!1sja!2sjp!4v1502104625701"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
LUSSO CROCE URBAN RESORT,5,045-681-1815,"3,480","5,090","6,800","7,990","12,900","4,800","1,980",神奈川県横浜市中区松影町1-3-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.54840954006!2d139.6360703143649!3d35.4412152507068!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cefdabe6ead%3A0x1efb281c75101c9c!2z44OH44K244Kk44Oz44Ob44OG44OrIOODn-OCueODiA!5e0!3m2!1sja!2sjp!4v1502104644786"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
エンゼル,6,045-311-5757,"3,500","4,000","6,500","7,000","7,000","3,500",-,神奈川県横浜市西区北幸2-4-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5985558701555!2d139.6389343143649!3d35.43997335077453!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce5975d0569%3A0x9f20ff5d534cda78!2z44Or44OD44K944Kv44Ot44O844OB44Kn!5e0!3m2!1sja!2sjp!4v1502104672029"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
北欧,7,045-323-3335,"3,500","4,500","6,300","10,300","10,800","3,500",-,神奈川県横浜市西区北幸2-4-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.3114829133965!2d139.62761231436514!3d35.44708235038693!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8aacf10d75%3A0xecbc5cbf717ef6!2z44Ob44OG44OrIOODleOCp-OCouODquODvOOCpuOCo-ODs-OCrw!5e0!3m2!1sja!2sjp!4v1502104693654"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ピアシティ,8,045-664-0918,"3,600","4,500","8,200","9,200","9,800","4,600",-,神奈川県横浜市中区山下町195,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.482129568986!2d139.62567661436486!3d35.44285665061735!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8b7053ab0b%3A0x7342ab73eefd11ee!2z44Ob44OG44OrIOOCtOODnuODg-OCr-OCuQ!5e0!3m2!1sja!2sjp!4v1502104714902"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル サンロゼ,9,045-488-0182,"3,780","4,860","7,340","7,340","9,500","4,200","6,000",神奈川県横浜市神奈川区片倉2-59-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.43537987006!2d139.646769314365!3d35.444014350554134!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce2f35fc2c7%3A0x74053c512357dd9b!2z44Ob44OG44Or44K144Oz44Oe44Oq44O844Oz!5e0!3m2!1sja!2sjp!4v1502104753912"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ing,10,045-261-2632,"3,800","3,800","9,800","9,800","9,800","5,300",-,神奈川県横浜市中区福富町西通46,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.585190663713!2d139.6388753143648!3d35.44030435075652!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce59c1d6013%3A0xabbd127a06c1c627!2z44Ko44Kw44K844Kv44OG44Kj44OWIOODm-ODhuODq-OCsOODqeODs-ODieOCrOODvOODh-ODsw!5e0!3m2!1sja!2sjp!4v1502104775142"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
